boy_kol, push_rel, edges, paths, edges_prep, paths_prep
1.927, 0.336, 0.881, 34.247, 0.043, 32.932
2.464, 0.348, 0.927, 31.984, 0.044, 30.618
2.463, 0.358, 0.887, 32.553, 0.044, 31.238
2.358, 0.354, 0.844, 32.057, 0.044, 30.833
2.436, 0.350, 0.972, 32.551, 0.044, 31.158
