boy_kol, push_rel, edges, paths, edges_prep, paths_prep
2.057, 0.344, 1.047, 32.074, 0.043, 30.998
2.053, 0.348, 0.907, 32.102, 0.043, 31.004
2.096, 0.355, 1.058, 31.397, 0.043, 30.373
2.059, 0.363, 0.846, 32.291, 0.044, 31.049
2.148, 0.351, 0.983, 31.641, 0.044, 30.415
