boy_kol, push_rel, edges, paths, edges_prep, paths_prep
4.972, 0.695, 0.705, 2.706, 0.191, 1.845
1.340, 0.445, 1.075, 3.018, 0.029, 1.474
0.942, 0.400, 0.675, 2.255, 0.029, 1.320
12.939, 0.153, 0.103, 1.726, 0.029, 1.568
4.384, 0.110, 0.107, 6.789, 0.030, 1.461
