boy_kol, push_rel, edges, paths, edges_prep, paths_prep
2.071, 0.341, 1.042, 31.606, 0.043, 30.589
2.697, 0.565, 1.118, 32.284, 0.240, 30.898
2.204, 0.352, 1.058, 31.048, 0.044, 29.811
2.145, 0.354, 0.838, 31.706, 0.044, 30.372
2.371, 0.353, 0.998, 31.330, 0.043, 30.146
