boy_kol, push_rel, edges, paths, edges_prep, paths_prep
1.952, 0.431, 2.893, 9.802, 0.053, 8.016
0.909, 0.326, 1.647, 8.678, 0.053, 7.835
1.658, 0.374, 2.706, 10.443, 0.053, 8.676
7.392, 0.151, 0.953, 8.265, 0.059, 7.733
0.713, 0.446, 1.214, 8.415, 0.055, 7.765
